Jrk nr,Maakond,G01Q02Klass. Mitmendas klassis õpib Teie laps?,"G01Q03. Kas olete teadlik, et Teie lapse koolis rakendatakse koolikava (koolipiima ning koolipuu- ja köögivilja programm)?",G01Q14. Kus Te elate?,"G02Q04SuuakseKV[1]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 1]","G02Q04SuuakseKV[2]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 2]","G02Q04SuuakseKV[3]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 3]","G02Q04SuuakseKV[4]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 4]","G02Q04SuuakseKV[5]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 5]","G02Q05SuuakseMarjad[1]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 1]","G02Q05SuuakseMarjad[2]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 2]","G02Q05SuuakseMarjad[3]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 3]","G02Q05SuuakseMarjad[4]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 4]","G02Q05SuuakseMarjad[5]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 5]","G02Q06SuuaksePiim[1]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 1]","G02Q06SuuaksePiim[2]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 2]","G02Q06SuuaksePiim[3]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 3]","G02Q07Suuakse[SQ001]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked puuviljad]","G02Q07Suuakse[SQ002]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked köögiviljad ]","G02Q07Suuakse[SQ003]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked või eelnevalt külmutatud marjad ]","G02Q07Suuakse[SQ004]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Joogipiim]","G02Q07Suuakse[SQ005]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Keefir]","G02Q07Suuakse[SQ006]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Hapupiim]","G02Q07Suuakse[SQ007]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Pett]","G02Q07Suuakse[SQ008]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Jogurt]",G03Q8Muutus[SQ001]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Köögivilja osas],G03Q8Muutus[SQ002]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Puuvilja osas],G03Q8Muutus[SQ003]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Piimatoodete osas],"G03Q10Sagedus. Palun hinnake, kui sagedasti räägite oma lapsega tervislikust toitumisest?","G02Q12Vajalikkus[SQ001]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipiimakava]","G02Q12Vajalikkus[SQ002]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipuuvilja ja -köögiviljakava]","G02Q12Vajalikkus[SQ003]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Kaasnevad haridusmeetmed]"
1,Tartumaa,4. klassis,"Jah, olen",Linnas,Herned,Tomat,Lillkapsas,Kurk,,Murakad,Vaarikad,Maasikad,Ploomid,Õun,Keefir,,,Iga päev,Iga päev,1-2 korda nädalas,1-2 korda nädalas,Iga päev,Ei oska öelda,Ei oska öelda,Ei söö/joo üldse,Ei ole muutusi,Sööb pigem rohkem,Sööb pigem vähem,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
2,Tartumaa,8. klassis,Ei ole,Linnas,Kurk,Spargelkapsas ehk brokoli,Leht- ja peasalat,Porgand,"Kapsas (valge, punane) ",Maasikad,Vaarikad,Mustikad,Mustad sõstrad,Õun,Jogurt,Joogipiim,,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Mitu korda kuus,Pigem ebavajalik,Väga vajalik,Pigem vajalik
3,Tartumaa,4. klassis,Ei ole,Linnas,Leht- ja peasalat,Kurk,Tomat,Paprika,Porgand,Maasikad,Õun,Vaarikad,Kirsid,Pirn,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,Iga päev,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Paar korda kuus,Ei söö/joo üldse,1-2 korda nädalas,Sööb palju rohkem,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Väga vajalik,Väga vajalik
5,Tartumaa,4. klassis,Ei ole,Linna lähikonnas,Porgand,Tomat,Kurk,Lillkapsas,Paprika,Õun,Maasikad,Vaarikad,Pirn,Mustikad,Joogipiim,Jogurt,Keefir,5-6 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem vähem,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Väga vajalik,Pigem vajalik
6,Tartumaa,4. klassis,"Jah, olen",Linnas,Tomat,"Suvikõrvits, kabatšokk",Porgand,Leht- ja peasalat,Kurk,Maasikad,Ploomid,Pirn,Õun,Mustikad,Joogipiim,Jogurt,,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Paar korda kuus,Ei oska öelda,Ei oska öelda,Paar korda kuus,Sööb pigem rohkem,Ei ole muutusi,Sööb pigem vähem,Mitu korda nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
7,Tartumaa,4. klassis,"Jah, olen",Linnas,Porgand,Paprika,Kurk,Kaalikas,Kõrvits ,Kirsid,Õun,Mustikad,Karusmarjad (tikrid),Valged sõstrad,Joogipiim,Jogurt,Keefir,Iga päev,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
9,Tartumaa,11. klassis,Ei ole,Linnas,Hiina kapsas,Kurk,Tomat,Peet,Sibul,Maasikad,Õun,Pirn,Vaarikad,,Joogipiim,Jogurt,,5-6 päeval nädalas,Iga päev,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Sööb pigem vähem,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Pigem vajalik
10,Tartumaa,4. klassis,Ei ole,Linnas,Tomat,"Suvikõrvits, kabatšokk",Lillkapsas,Peet,Porgand,Õun,Vaarikad,Kirsid,Ploomid,Mustad sõstrad,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,3-4 päeval nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
11,Tartumaa,8. klassis,Ei ole,Linna lähikonnas,Kurk,Leht- ja peasalat,Tomat,"Kapsas (valge, punane) ",Porgand,Maasikad,Mustikad,Vaarikad,Õun,Pirn,Joogipiim,Keefir,Jogurt,5-6 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Sööb pigem vähem,Mitu korda kuus,Pigem vajalik,Pigem vajalik,Väga vajalik
13,Tartumaa,4. klassis,Ei ole,Linnas,Paprika,Kurk,Oad,Nuikapsas ,Tomat,Mustikad,Maasikad,Kirsid,Vaarikad,Pirn,Jogurt,Keefir,Joogipiim,Iga päev,Iga päev,5-6 päeval nädalas,Iga päev,Iga päev,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Sööb pigem rohkem,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
