Respondent ID,Collector ID,Start Date,End Date,IP,Email,First Name,Last Name,Custom Data 1,Gender,Tenure,Minu tööülesanded on arusaadavalt määratletud ja selgitatud,Minu häid tulemusi tööl tunnustatakse,Saan enda osakonnast piisavalt kiiresti ja piisavas mahus kätte tööks vajalikku informatsiooni,Saan teistest osakondadest piisavalt kiiresti ja piisavas mahus kätte tööks vajalikku informatsiooni,Üldiselt on minu arvates info liikumine Mobires hea,Minu töövahendid võimaldavad mul oma tööd hästi teha,Minu füüsiline töökeskkond on mugav ja meeldiv,Minu töö ei kahjusta mu tervist,Tööõhkkond on positiivne,Saan vajadusel kolleegidelt piisavalt tuge,Minu töö on mulle huvitav,"Minu töö on oluline, tunnen end meeskonnas väärtusliku liikmena",Olen rahul tööalaste enesetäiendusvõimalustega,Minu töö jätab mulle piisavalt aega isikliku elu jaoks,Mul on oma kolleegidega meeldiv ja mugav suhelda,Ma ei ole Mobires kogenud töökiusamist,"Mobire hoolib oma töötajatest (nt paindlikkus, erinevad vastutulekud, lisahüved)","Olen uhke, et töötan Mobires",Minu töötasu vastab mu tööpanusele,Minu töötasu on õiglane võrreldes kolleegidega,Minu töötasu on sektoris konkurentsivõimeline,Kokkuvõttes olen oma tööga rahul,Töötajatel on piisavad võimalused kaasa rääkida ettevõtte sisulises arengus,Response,Juht leiab võimalusi osakonna arenguks,"Kui osakonnas ilmnevad probleemid, siis püütakse neid lahendada",Minu ja minu juhi vaheline koostöö on hea,"Osakond saab juhtide tehtud otsustest (strateegilised, struktuurilised) õigeaegselt teada",Response,Juht leiab võimalusi osakonna arenguks,"Kui osakonnas ilmnevad probleemid, siis püütakse neid lahendada",Minu ja vastava osakonna juhi vaheline koostöö on hea,"Osakond saab juhtide tehtud otsustest (strateegilised, struktuurilised) õigeaegselt teada"
1.14E+11,423104966,03/11/2022 14:42,09/11/2022 09:28,,,,,,Naine,kuni 2 aastat,Üldiselt nõus,Pigem nõus,Pigem nõus,Pigem ei ole nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Pigem ei ole nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem ei ole nõus,Pigem ei ole nõus,Üldiselt nõus,Üldiselt nõus,Marek Kurs,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Simmo Joosep,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Pigem nõus
1.14E+11,423104966,08/11/2022 14:10,08/11/2022 14:36,,,,,,Mees,2 - 5 aastat,Üldiselt nõus,Pigem nõus,Üldiselt nõus,Pigem nõus,Pigem ei ole nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Pigem nõus,Andrus Valma,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Tannar Esna,Pigem nõus,Pigem nõus,Üldiselt nõus,Pigem nõus
1.14E+11,423104966,04/11/2022 15:46,04/11/2022 16:20,,,,,,Naine,kuni 2 aastat,Pigem nõus,Pigem nõus,Pigem nõus,Pigem nõus,Pigem ei ole nõus,Üldiselt nõus,Üldiselt nõus,Pigem ei ole nõus,Pigem ei ole nõus,Pigem nõus,Pigem nõus,Pigem ei ole nõus,Pigem nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,Pigem nõus,Pigem nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Pigem nõus,Ei oska öelda,Simmo Joosep,Pigem nõus,Pigem nõus,Pigem nõus,Pigem ei ole nõus,Marek Kurs,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus
1.14E+11,423104966,04/11/2022 13:46,04/11/2022 14:00,,,,,,Naine,enam kui 5 aastat,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Andrus Valma,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Tannar Esna,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus
1.14E+11,423104966,03/11/2022 09:04,03/11/2022 09:07,,,,,,Mees,kuni 2 aastat,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Andrus Valma,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Rainart Ots,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus
1.14E+11,423104966,03/11/2022 08:28,03/11/2022 08:32,,,,,,Mees,enam kui 5 aastat,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Andrus Valma,Pigem nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Gert Vatt,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus
1.14E+11,423104966,25/10/2022 10:28,03/11/2022 08:26,,,,,,Mees,kuni 2 aastat,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Andrus Valma,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Simmo Joosep,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus
1.14E+11,423104966,02/11/2022 16:33,02/11/2022 16:38,,,,,,Naine,enam kui 5 aastat,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Rainart Ots,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Tannar Esna,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus
1.14E+11,423149837,02/11/2022 12:32,02/11/2022 12:38,,,,,,Naine,2 - 5 aastat,Täiesti nõus,Pigem nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Pigem nõus,Pigem nõus,Täiesti nõus,Üldiselt nõus,Karin Raide,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Tannar Esna,Ei oska öelda,Üldiselt nõus,Täiesti nõus,Ei oska öelda
1.14E+11,423104966,31/10/2022 15:37,31/10/2022 15:51,,,,,,Naine,kuni 2 aastat,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Pigem nõus,Üldiselt nõus,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Ei oska öelda,Pigem nõus,Üldiselt nõus,Täiesti nõus,Andrus Valma,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Marek Kurs,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus
